end_date,profit_dedt,n_cashflow_act,total_cur_liab,total_ncl,total_assets,total_revenue,oper_cost,total_cur_assets,ts_code
20220331,23607877.74,93365880.78,149936551.96,107806248.08,1904616617.63,74453991.67,27776721.21,1303437203.87,688150.SH
20211231,46384982.02,100615528.13000001,130696204.33,89537491.81,1030381770.29,173518367.76000002,58913594.410000004,435824916.6,688150.SH
20210630,48229364.63,67422600.33,103085210.84,44510074.2,901179488.9,163135519.54,60201832.24,377741017.8,688150.SH
20220930,110141034.48000002,-398160889.97000027,20550431875.03,6421360058.75,40369494233.34,7523678847.01,5788354348.330002,30091756798.32,600498.SH
20220630,133859266.71000001,-1599687941.7399998,20490118639.16,6299969994.51,40065842779.82,9465428130.71,7586488798.579999,29970288133.5,600498.SH
20220331,28997771.97,-2506922054.26,17405603404.24,5804022089.87,35838849435.9,4538718869.12,3462455387.13,25706193936.67,600498.SH
20211231,-12927135.349999994,4553302889.049999,17714598417.53,5573628700.04,35880321254.49,7775284062.619999,6089695265.300001,25907365210.3,600498.SH
20210930,117149955.77000001,-923532098.6099997,16016807772.95,7026831260.07,35538163970.37,6531067016.450001,4931153937.300001,25985183336.08,600498.SH
20220930,18514786.689999998,-1848729.8999999985,274431229.29,101720238.83,1495103104.54,157953976.73,123185132.10999998,546350108.21,300656.SZ
20220630,16836769.14,31991139.159999996,235288993.6,109583728.4,1433524881.19,115986180.22999999,86727442.27999999,622370249.91,300656.SZ
20220331,11559778.68,13526453.39,227420867.5,14202375.49,1321228934.87,88163087.56,63045885.7,794695375.94,300656.SZ
20211231,-817588.9200000018,9398621.419999994,249218770.79,14588050.1,831666633.06,185922053.72999996,136057162.60999998,456164503.29,300656.SZ
20210930,25166323.13,4591530.539999999,230045470.33,15220359.98,788083684.44,157847391.04999998,114541461.10999998,412472514.4,300656.SZ
20220930,4861808.109999999,230354585.84,2475494663.39,557677945.63,6015559611.29,614125477.3699999,429237738.75,3394783314.76,300477.SZ
20220630,10559498.38000001,-71921771.98999998,2347219787.56,286925307.61,5465101937.81,816501344.2800001,620376748.29,3084891178.93,300477.SZ
20220331,91148334.57,-152641538.3,2378059652.69,256219046.15,5395423391.3,698380672.93,499741251.52,3206820943.23,300477.SZ
20211231,25688131.85000001,199360187.67999998,2567272926.16,201599827.78,5103659095.61,739338366.5999999,547502352.1300001,2832203849.52,300477.SZ
20210930,16154191.479999997,-144538535.24,2458691962.86,210213028.7,4977539211.94,573178512.4799998,462325266.68999994,2830991088.02,300477.SZ
20220930,36205563.14999999,-28582892.41,423192395.43,142323408.04,1399041661.27,277515485.91999996,194232591.25,819133021.45,300893.SZ
20220630,18686827.39,71036714.68,334549920.69,48858328.62,1178249185.35,202913648.39000002,149105199.67000002,648277215.12,300893.SZ
20220331,23322249.42,-20759230.25,299405378.46,18602354.44,1117272031.49,220933576.1,161777279.18,664435756.39,300893.SZ
20211231,32799456.310000002,73366534.57,296660752.12,17427191.97,1086387929.07,248923744.16000003,170647779.58999997,671318434.03,300893.SZ
20210930,19953800.340000004,278830.41999999806,322215132.35,14407269.74,1072833930.62,161726246.73000002,108738801.88,711381669.76,300893.SZ
20220930,130625864.94,43959797.57000001,525518442.15,229009696.38,4220164645.82,383276626.22,159318966.47999996,2821776020.22,688301.SH
20220630,163196896.39000005,79118819.3,501528473.92,214041484.96,3938482330.94,393851936.96999997,159223713.55,3144770719.06,688301.SH
20220331,111655846.83,33561830.69,487591785.6,203617367.03,3725979088.93,326755752.83,139594389.05,3038293429.05,688301.SH
20211231,73196692.10000002,142363254.36,376467319.28,84078356.35,3537103476.01,363622485.6999999,159338904.59999996,3046742634.2,688301.SH
20210930,90396705.13999999,14981032.849999994,260694212.23,50591089.92,3200415782.88,268073020.42999995,117309881.10000002,2898662712.98,688301.SH
20220930,140834033.99,256567723.01000002,480104438.27,32910280.2,2724113139.92,636932466.23,444445014.41999996,1782720008.41,605099.SH
20220630,120258701.24000001,97887306.57,674469667.34,35703075.88,2752416881.82,634289100.22,457638401.36,1815571280.4,605099.SH
20220331,81629455.0,38504442.28,349839581.45,39046574.81,2470285782.9,681208503.94,517103159.77,1526619645.92,605099.SH
20211231,57352731.889999986,115695062.92000002,356989815.23,43083997.17,2398875677.46,552750307.9900002,428756702.26,1475666942.77,605099.SH
20210930,99311825.30000001,182222620.14,291130571.76,50652442.9,2293242169.73,583633431.1700001,418023884.56000006,1394585477.34,605099.SH
20220930,16536867.240000002,-77377125.97000001,473242496.91,46734205.76,2316410645.8,319176998.9,251449017.63,1103805506.55,605177.SH
20220630,14596298.240000002,-42388544.14,437148623.75,42101050.11,2256590473.7,280369570.6,227636057.17,1078939053.32,605177.SH
20220331,21356392.36,-14747411.47,447566515.32,43755134.89,2271868148.48,254966058.04,192008954.85,1150393583.8,605177.SH
20211231,12235335.600000001,10032649.830000002,449286481.21,43704259.09,2251076133.47,239817465.01999998,184369224.74,1172420139.48,605177.SH
20210930,-8721676.79,-85445735.63,445686119.63,34771118.95,2223403331.62,127342902.72999996,97591662.56999996,1194196449.49,605177.SH
20220930,89488963.81,40929073.92000002,972426150.79,183593122.32,3298466892.19,384777573.1500001,91382448.91000003,2021088685.84,002315.SZ
20220630,100062646.81,108458149.75,991289920.45,218866346.08,3253506341.78,379508670.74999994,77836572.57999998,1964516619.49,002315.SZ
20220331,35790594.69,-7339212.9,984094688.82,203001778.83,3352474927.3,347858705.54,67266194.12,2059740756.19,002315.SZ
20211231,44633739.00999999,309173789.41999996,1084748068.13,205716421.95,3403327303.94,387015076.1099999,104602122.87000003,2098355698.45,002315.SZ
20210930,62124310.58000001,27249036.650000006,987265151.57,84013763.06,3144337785.0,353232505.78999996,90999392.63,1796007593.03,002315.SZ
20220930,156221586.9,380421391.7900001,2840009625.24,219708683.0,5695297868.95,1481711970.4800003,926651729.6399999,2757934241.0,603801.SH
20220630,100837070.0,511179704.16999996,2424469886.49,324309207.57,5225340118.1,1276513102.55,804752953.3,2415703280.24,603801.SH
20220331,39858930.71,-292885858.26,2050907679.79,336955233.01,4943115550.03,758736722.02,492546926.16,2338409559.76,603801.SH
20211231,170245440.91000003,162088857.18,2425873017.96,281199751.58,5298054969.75,1830624417.0499997,1170629710.38,2787085039.31,603801.SH
20210930,144115412.09,168063519.71,2404888484.31,75808094.72,4828820548.23,1413936363.6599998,912263901.3400002,2953041857.18,603801.SH
20220930,123299634.67000002,204907038.82999998,3474781331.68,3984237892.35,14447609225.01,2505984137.59,2012325663.17,8905693719.73,002683.SZ
20220630,193778496.5,305928999.95,3296055539.49,4423090062.32,14512269170.72,2571490290.6800003,2010871519.1999998,9018483434.53,002683.SZ
